# iters=5000 n_orient=8 n_actions=6 allowed_actions=3
# orient=0 action=0
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0118390939,0.0111587946,0.0091945866,0.0063606801,0.0092639146,0.0139718470,0.0132853338,0.0049628555,0.0021410081,0.0143043256,0.0382900340,0.0398957275,0.0415703669,0.0433742415,0.0452587312,0.0470655554,0.0489897568,0.0512514928,0.0535013905,0.0569028112,0.0623559507,0.0644957474,0.0645473791,0.0625967013,0.0628860277,0.0630167569,0.0623722110,0.0585217860,0.0539554076,0.0493514655,0.0448350213,0.0412067788,0.0360290227,0.0300692761,0.0249748993,0.0224171486,0.0181859730,0.0067162796,0.0060775550,0.0048252776,0.0033632036,0.0026819823,0.0022653123,0.0018686564,0.0019603716,0.0021300302,0.0034214373,0.0022337078,0.0019871197,0.0018613324,0.0018008442,0.0017655614,0.0022315746,0.0038596595,0.0034297403,0.0027266239,0.0032476852,0.0045923956,0.0051920281,0.0047342058,0.0028087632,0.0039746862,0.0022274532,0.0056553503,0.0057704497,0.0059020650,0.0168234109,0.0176304378,0.0165525773,0.0192036870,0.0197672549,0.0201324202,0.0199118031,0.0192521803,0.0186731439,0.0186518243,0.0183217339,0.0180683629,0.0066326279,0.0067498867,0.0068532924,0.0059091830,0.0031544277,0.0027225393,0.0025805662,0.0023746450,0.0022636689,0.0027166574,0.0050480582,0.0046009050,0.0031761987,0.0028060492,0.0027977065,0.0030281624,0.0036586392,0.0043586293,0.0038289731,0.0037162811,0.0042501566,0.0049620200
0.0139384666,0.0138258041,0.0130158491,0.0109499331,0.0063096471,0.0098239593,0.0152291732,0.0150299651,0.0161790407,0.0500013786,0.0537666237,0.0563915544,0.0589713644,0.0616645509,0.0645899334,0.0678895839,0.0709780564,0.0743421700,0.0799676608,0.0887683018,0.0929608304,0.0902800601,0.0905079047,0.0875898737,0.0876899522,0.0874901000,0.0864652498,0.0807410738,0.0730880535,0.0643552124,0.0562719723,0.0507845425,0.0449537665,0.0373082104,0.0283375916,0.0248020247,0.0218807669,0.0180671798,0.0061394672,0.0020281999,0.0008706714,0.0021254641,0.0047829939,0.0014946904,0.0018466006,0.0030556821,0.0026476206,0.0022362151,0.0020478405,0.0018826925,0.0017738394,0.0017512772,0.0042247829,0.0039854496,0.0029337016,0.0023122703,0.0025342226,0.0037781410,0.0051236016,0.0054926918,0.0050305151,0.0022780556,0.0054527614,0.0021542082,0.0020976222,0.0162086369,0.0173694060,0.0170363185,0.0188199229,0.0193542640,0.0202924817,0.0207691883,0.0197844997,0.0198049838,0.0200185887,0.0194149266,0.0192854565,0.0192026424,0.0069814352,0.0071158259,0.0072320717,0.0031363720,0.0027081619,0.0026267629,0.0023957899,0.0022335086,0.0022339946,0.0055841928,0.0052213031,0.0032859317,0.0028166551,0.0027830599,0.0029190603,0.0035325744,0.0047149206,0.0039139799,0.0036529817,0.0042089091,0.0052384120,0.0049700559
0.0142698435,0.0143707190,0.0144455966,0.0141359900,0.0130477265,0.0054775337,0.0028736352,0.0193254226,0.0539037675,0.0599392961,0.0637817718,0.0674275284,0.0711451197,0.0747125935,0.0784664773,0.0824177501,0.0884768972,0.0985064543,0.1050921192,0.1076787676,0.1084379099,0.1049600769,0.1052390009,0.1016556519,0.1013104310,0.1004130470,0.0988990560,0.0930285714,0.0853165708,0.0749788960,0.0630874980,0.0555888406,0.0495455058,0.0438507348,0.0356670126,0.0286203770,0.0251072881,0.0222152671,0.0194758984,0.0175645711,0.0153005240,0.0055375060,0.0020887011,0.0020559937,0.0018257609,0.0017472746,0.0020758667,0.0022351385,0.0021527200,0.0006887857,0.0017485862,0.0046645462,0.0044093601,0.0034925812,0.0025036330,0.0020917175,0.0021313725,0.0027956825,0.0043594998,0.0054214691,0.0056494380,0.0054684156,0.0021447166,0.0020829946,0.0162992547,0.0174965261,0.0185145963,0.0195517204,0.0203857874,0.0208480785,0.0212415035,0.0217334022,0.0209171047,0.0204121632,0.0200337967,0.0196024944,0.0195875274,0.0193755028,0.0188410591,0.0071705007,0.0027857531,0.0025746867,0.0026167365,0.0024077469,0.0007674641,0.0021258225,0.0062984912,0.0059936390,0.0032914742,0.0027894118,0.0027642699,0.0028072206,0.0032416639,0.0051948050,0.0039415563,0.0035114834,0.0040152408,0.0055365331,0.0049269776,0.0049552735
0.0144793756,0.0143363371,0.0145838263,0.0147121326,0.0139730294,0.0140989506,0.0157781103,0.0529071975,0.0604326756,0.0661970962,0.0717944320,0.0769413640,0.0817210828,0.0875149410,0.0957266670,0.1003465628,0.1115995452,0.1158578450,0.1177886041,0.1184414007,0.1187013753,0.1147242178,0.1148333320,0.1107413845,0.1102176683,0.1088870489,0.1066813722,0.1002155347,0.0938635534,0.0862718053,0.0751096632,0.0616162142,0.0535556616,0.0476508689,0.0410635327,0.0370527632,0.0300963366,0.0247109272,0.0229297600,0.0202852175,0.0181971460,0.0171017987,0.0160528606,0.0137770590,0.0119616277,0.0111689887,0.0141977947,0.0165994102,0.0163720261,0.0058781607,0.0053634913,0.0047019770,0.0040245353,0.0029989175,0.0022377600,0.0020210758,0.0019803187,0.0022098320,0.0032545464,0.0049705049,0.0056376921,0.0057585703,0.0058957319,0.0061497879,0.0177631936,0.0187753401,0.0198925447,0.0209142623,0.0218167873,0.0226598659,0.0226546821,0.0230951829,0.0231698840,0.0218171684,0.0210174226,0.0216577212,0.0215224253,0.0211382840,0.0208338396,0.0209840417,0.0211758773,0.0223740115,0.0213433489,0.0173710725,0.0061754429,0.0066809706,0.0070773290,0.0031509503,0.0026844059,0.0026664550,0.0027195072,0.0027903126,0.0060649528,0.0039583424,0.0033920838,0.0037020121,0.0060607311,0.0048712273,0.0047111914,0.0063018250
0.0156446537,0.0145122059,0.0142062784,0.0145299518,0.0155546651,0.0172532698,0.0189756396,0.0571368867,0.0632102201,0.0703246730,0.0779912007,0.0861262906,0.0951046550,0.1065944945,0.1116177032,0.1164028067,0.1238210330,0.1253611931,0.1259702112,0.1261753434,0.1262353705,0.1217466320,0.1215154390,0.1169002595,0.1163753879,0.1155417449,0.1136014624,0.1067120988,0.0994739536,0.0933808310,0.0882718738,0.0834397320,0.0605413214,0.0512536050,0.0440836886,0.0411728467,0.0374004368,0.0296911748,0.0250674647,0.0231065925,0.0205131191,0.0194686807,0.0184160322,0.0165128581,0.0133504728,0.0106778030,0.0110140162,0.0146773732,0.0174421934,0.0063997166,0.0056821416,0.0043263928,0.0037437240,0.0025559815,0.0020945278,0.0020290174,0.0019448108,0.0019603200,0.0024110998,0.0042563178,0.0054488946,0.0057398186,0.0060005750,0.0062080488,0.0177712976,0.0187284628,0.0198161386,0.0204260998,0.0215987162,0.0221213930,0.0228813048,0.0234095484,0.0225298430,0.0226100489,0.0239691241,0.0239913216,0.0236107963,0.0239588505,0.0234649933,0.0229935878,0.0255824610,0.0269742512,0.0207400817,0.0179854799,0.0181970915,0.0071787496,0.0028277020,0.0025524532,0.0025471589,0.0009236165,0.0026655899,0.0075943698,0.0037671884,0.0032450018,0.0032387913,0.0070293261,0.0048061900,0.0043300755,0.0068492776,0.0057045363
0.0177716296,0.0161970375,0.0145713637,0.0142582317,0.0149113038,0.0164460563,0.0182882609,0.0555860481,0.0609213261,0.0678850378,0.0774661138,0.0892080296,0.1034369892,0.1188347103,0.1210615366,0.1247036640,0.1310558364,0.1318283822,0.1320922430,0.1321400863,0.1320394455,0.1271064417,0.1265516271,0.1213923001,0.1207105153,0.1203187064,0.1208534683,0.1154540484,0.1087670046,0.1014545076,0.0937391731,0.0933790744,0.1234948880,0.1500511258,0.0176355447,0.0435547155,0.0410694182,0.0363893909,0.0306790440,0.0252004629,0.0231994580,0.0214401001,0.0205982345,0.0185271992,0.0169261321,0.0118036373,0.0077001401,0.0107323984,0.0155629507,0.0055629785,0.0044281884,0.0039140459,0.0034390450,0.0022189288,0.0021061504,0.0020115300,0.0019900469,0.0018692992,0.0022189434,0.0032444137,0.0051563614,0.0056147012,0.0060846458,0.0062057162,0.0177297434,0.0185774752,0.0194726737,0.0196691915,0.0208111008,0.0220697943,0.0227531674,0.0223332595,0.0221564721,0.0227840049,0.0231276635,0.0227780809,0.0224289669,0.0228025991,0.0237790850,0.0270681472,0.0333979719,0.0240561243,0.0188321003,0.0201190729,0.0207621647,0.0214805271,0.0212406753,0.0211743585,0.0216095752,0.0214237894,0.0082507141,0.0033203378,0.0010892112,0.0030936881,0.0087263361,0.0045500124,0.0037843290,0.0078808137,0.0056433410,0.0049447438
0.0196817117,0.0189089823,0.0171738745,0.0146877258,0.0140660911,0.0144505876,0.0160380141,0.0512563081,0.0572641453,0.0618445493,0.0692813792,0.0815469497,0.0994991205,0.1126178702,0.1194142799,0.1265042759,0.1347039087,0.1362460975,0.1367988803,0.1368402131,0.1366430540,0.1314681207,0.1308016533,0.1253174355,0.1244128871,0.1242620686,0.1247815173,0.1267378812,0.1457115446,0.3007137636,0.1342233348,0.1527681165,0.1393844530,0.0505606276,0.0643074634,0.0169294906,0.0430554267,0.0394023215,0.0365195674,0.0321603396,0.0260909266,0.0233225416,0.0223061937,0.0208114952,0.0200421104,0.0168611606,0.0065390710,0.0073588683,0.0102031330,0.0038667000,0.0029577032,0.0021552725,0.0021548183,0.0023972626,0.0020762811,0.0019852863,0.0019611176,0.0019815381,0.0027837236,0.0021909420,0.0041742583,0.0058489541,0.0060337331,0.0061811449,0.0176994630,0.0183078646,0.0182477899,0.0189388873,0.0206040501,0.0217250660,0.0224012808,0.0213797166,0.0212607833,0.0221298732,0.0218528694,0.0214378162,0.0210432173,0.0214462328,0.0226840460,0.0407151369,0.0342157392,0.0177547645,0.0216980259,0.0228706042,0.0234396100,0.0238529142,0.0239419329,0.0245313350,0.0253151540,0.0252831143,0.0258350666,0.0257053952,0.0250547452,0.0096174783,0.0013993476,0.0035481992,0.0097263417,0.0053066474,0.0043330456,0.0093131764
0.0201685601,0.0206410831,0.0203744397,0.0188272059,0.0146719206,0.0135016117,0.0136491716,0.0432631607,0.0522545684,0.0581122064,0.0597712698,0.0650166068,0.0756154781,0.0831256354,0.0945357443,0.1117254000,0.1294125788,0.1362232319,0.1393674465,0.1403699080,0.1403369399,0.1351355491,0.1348668790,0.1297458706,0.1288053351,0.1280392051,0.1336664047,0.1541082824,0.2343258433,0.2670603420,0.0846992760,0.0669723913,0.0447309790,0.0504486353,0.0413447780,0.0898171225,0.0436677028,0.0154704391,0.0390288857,0.0362766153,0.0327834415,0.0270780070,0.0233952507,0.0223963677,0.0209747315,0.0188608765,0.0163079249,0.0059519868,0.0025484347,0.0026573639,0.0021378772,0.0016894890,0.0008889170,0.0023109218,0.0023632254,0.0007875778,0.0019179787,0.0042102789,0.0025264878,0.0023310246,0.0023908906,0.0055100188,0.0058662310,0.0061203355,0.0175616492,0.0172528312,0.0160032903,0.0193139694,0.0207371979,0.0216094185,0.0213194183,0.0211376476,0.0212016184,0.0205487057,0.0203867498,0.0201431307,0.0073615174,0.0199243704,0.1279014800,0.0310520526,0.0109864524,0.0220936316,0.0262341137,0.0269651367,0.0254428699,0.0255193193,0.0263279768,0.0272496954,0.0282521199,0.0282948889,0.0293835951,0.0304606717,0.0303511683,0.0307718843,0.0288392426,0.0107892243,0.0015976015,0.0040258751,0.0110490789,0.0125027721
0.0170657000,0.0207277580,0.0213844389,0.0219156154,0.0222778592,0.0142422493,0.0130044542,0.0359052896,0.0422029905,0.0538081814,0.0589284656,0.0564227560,0.0537429252,0.0531311333,0.0561532187,0.0681209095,0.0951423173,0.1190221022,0.1323028969,0.1406379305,0.1429971525,0.1383077791,0.1384829057,0.1345766240,0.1373497231,0.1423861617,0.1490239963,0.1366707302,0.1236626442,0.0860762786,0.0181189026,0.0132152998,0.0138589902,0.0242780481,0.0495002032,0.0351620487,0.0165554765,0.0151161297,0.0402301662,0.0383822298,0.0356461147,0.0321485864,0.0269675719,0.0243231949,0.0233605493,0.0211768456,0.0191460493,0.0173758083,0.0160231219,0.0150424094,0.0148038353,0.0145700659,0.0115421843,0.0086802610,0.0133965075,0.0134979560,0.0019742505,0.0020618931,0.0035263964,0.0051631578,0.0020213052,0.0008271468,0.0059997748,0.0147883520,0.0132954364,0.0149901384,0.0184782430,0.0195382198,0.0203284482,0.0209623496,0.0208816018,0.0202323705,0.0197331977,0.0193032300,0.0188252187,0.0185238670,0.0180825032,0.0070695010,0.0034671386,0.0081939775,0.0204460245,0.0234226491,0.0258118876,0.0270164163,0.0271157498,0.0281365305,0.0292102146,0.0303365410,0.0315367401,0.0316735239,0.0329766132,0.0342640695,0.0341968939,0.0352205049,0.0349171398,0.0340925585,0.0123538891,0.0124544903,0.0128446648,0.0138172300
